sector,category,activity_id,Notes,sector-description,category-description
Materials and Manufacturing,Mined Materials,mined_materials-type_[....],,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the mined materials category are associated with the release of gases into the atmosphere resulting from the extraction processing and transportation of various mined resources.
Materials and Manufacturing,Mining,mining-type_[....],,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the mining category involve the release of gases into the atmosphere resulting from the extraction and processing of minerals and ores from the Earth's crust. These emissions primarily occur from the energy consumption in mining operations including the use of heavy machinery transportation vehicles and the operation of on-site facilities.
Materials and Manufacturing,Organic Products,organic_products-type_[....],This category includes both primary and secondary (recycled) materials,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the organic products category are associated with the release of gases into the atmosphere resulting from the production processing and distribution of organic goods.
Materials and Manufacturing,Other Materials,other_materials-type_[....],,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the other materials category refer to the release of gases into the atmosphere resulting from the production use and disposal of various materials that do not fall under specific categories. These emissions can arise from processes such as the extraction and processing of raw materials manufacturing transportation and waste management.
Materials and Manufacturing,Paper and Cardboard,paper_and_cardboard-type_[....],This category includes both primary and secondary (recycled) materials,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the paper and cardboard category are associated with the release of gases into the atmosphere resulting from the production use and disposal of paper and cardboard products. These emissions primarily occur during the manufacturing process which involves the pulping of wood fibers chemical treatments and the use of energy sources.
Materials and Manufacturing,Plastics and Rubber Products,plastics_rubber-type_[....],This category includes both primary and secondary (recycled) materials,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the plastics and rubber products category are associated with the release of gases into the atmosphere resulting from the production use and disposal of various plastic and rubber-based products. These emissions primarily occur during the manufacturing process which involves the extraction and processing of raw materials such as petroleum or natural gas and the energy-intensive conversion of these materials into plastic and rubber products.
Materials and Manufacturing,Vehicle Parts,vehicle_parts-type_[....],,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the vehicle parts category refer to the release of gases into the atmosphere resulting from the production distribution and disposal of vehicle parts. These emissions primarily occur from energy consumption in manufacturing processes transportation of parts and the extraction of raw materials.
Organizational Activities,Government Activities,organizational_activities-type_[....],,The organizational activities sector includes greenhouse gas emissions from various administrative and support services provided by organizations. These emissions primarily arise from energy consumption in office buildings business travel employee commuting and waste management.,Greenhouse gas emissions from the government activities category pertain to the release of gases into the atmosphere resulting from the operations and activities of governmental entities at various levels (local regional national). These emissions primarily occur from the energy consumption in government buildings including offices schools and other facilities as well as from the transportation fleets used by government agencies.
Organizational Activities,Homeworking,homeworking_type_[....],,The organizational activities sector includes greenhouse gas emissions from various administrative and support services provided by organizations. These emissions primarily arise from energy consumption in office buildings business travel employee commuting and waste management.,Greenhouse gas emissions from the homeworking category refer to the release of gases into the atmosphere resulting from work activities conducted at home. These emissions primarily occur from the energy consumption associated with home office equipment such as computers printers and lighting.
Organizational Activities,Non-profit Activities,organizational_activities-type_[....],,The organizational activities sector includes greenhouse gas emissions from various administrative and support services provided by organizations. These emissions primarily arise from energy consumption in office buildings business travel employee commuting and waste management.,Greenhouse gas emissions from the non-profit activities category pertain to the release of gases into the atmosphere resulting from the operations and activities of non-profit organizations. These emissions primarily occur from energy consumption in office buildings including lighting heating cooling and the use of electronic equipment. Additionally emissions can arise from transportation and logistics such as business travel and the distribution of goods and materials for charitable purposes.
Organizational Activities,Operational Activities,organizational_activities-type_[....],,The organizational activities sector includes greenhouse gas emissions from various administrative and support services provided by organizations. These emissions primarily arise from energy consumption in office buildings business travel employee commuting and waste management.,Greenhouse gas emissions from the operational activities category refer to the release of gases into the atmosphere resulting from the day-to-day operations of an organization or entity. These emissions primarily occur from energy consumption in buildings including lighting heating cooling and the use of electronic equipment.
Organizational Activities,Organizational Activities,organizational_activity-type_[....],,The organizational activities sector includes greenhouse gas emissions from various administrative and support services provided by organizations. These emissions primarily arise from energy consumption in office buildings business travel employee commuting and waste management.,Greenhouse gas emissions from the organizational activities category involve the release of gases into the atmosphere resulting from the day-to-day operations and activities of an organization. These emissions primarily occur from energy consumption in buildings including heating cooling lighting and the use of electronic equipment. 
Organizational Activities,Professional Services and Activities,professional_services-type_[....],,The organizational activities sector includes greenhouse gas emissions from various administrative and support services provided by organizations. These emissions primarily arise from energy consumption in office buildings business travel employee commuting and waste management.,Greenhouse gas emissions from the professional services and activities category encompass the release of gases into the atmosphere resulting from the operations and activities of various professional service providers. These emissions primarily occur from energy consumption in office spaces including lighting heating cooling and the use of electronic equipment.
Organizational Activities,Wholesale Trade,wholesale_trade-type_[....],,The organizational activities sector includes greenhouse gas emissions from various administrative and support services provided by organizations. These emissions primarily arise from energy consumption in office buildings business travel employee commuting and waste management.,Greenhouse gas emissions from the wholesale trade category are associated with the release of gases into the atmosphere resulting from the distribution and trade of goods in bulk quantities. These emissions primarily occur from the transportation of goods such as trucks and ships as well as the energy consumption in storage facilities and distribution centers.
Refrigerants and Fugitive Gases,Refrigerants and Fugitive Gases,fugitive_gas-type_[....],This category is for estimating the CO2 equivalent emissions of refrigerants and fugitive gases. These conversion factor should be used to report leakage from air-conditioning refrigeration units or the release to the atmosphere of other gases that have global warming potential (GWP).,The refrigerants and fugitive gases sector contributes to greenhouse gas emissions through the release of potent greenhouse gases used in refrigeration air conditioning and other cooling systems. These emissions primarily result from the leakage and improper handling of refrigerants which have a high global warming potential.,Greenhouse gas emissions from the refrigerants and fugitive gases category are associated with the release of gases into the atmosphere from the use leakage and disposal of refrigerants and other gases commonly used in cooling and HVAC (Heating Ventilation and Air Conditioning) systems. These emissions primarily include hydrofluorocarbons (HFCs) chlorofluorocarbons (CFCs) and other synthetic gases with high global warming potentials.
Restaurants and Accommodation,Accommodation,accommodation_type_[....],,The restaurants and accommodation sector contributes to greenhouse gas emissions through the operation of restaurants hotels and other lodging establishments. These emissions primarily arise from energy consumption for heating cooling lighting and food preparation as well as transportation and waste management.,Greenhouse gas emissions from the accommodation category are the result of energy consumption for heating cooling lighting and transportation activities within hotels resorts and lodges.
Restaurants and Accommodation,Food and Beverage Services,consumer_services-type_[....],,The restaurants and accommodation sector contributes to greenhouse gas emissions through the operation of restaurants hotels and other lodging establishments. These emissions primarily arise from energy consumption for heating cooling lighting and food preparation as well as transportation and waste management.,Greenhouse gas emissions from the food and beverage services category refer to the release of gases into the atmosphere resulting from various activities within the industry. These emissions primarily occur from the production processing transportation and preparation of food and beverages as well as the energy consumption in restaurants cafes and other foodservice establishments.
Restaurants and Accommodation,Restaurants and Accommodation,restaurants_accommodation-type_[....],,The restaurants and accommodation sector contributes to greenhouse gas emissions through the operation of restaurants hotels and other lodging establishments. These emissions primarily arise from energy consumption for heating cooling lighting and food preparation as well as transportation and waste management.,Greenhouse gas emissions from the restaurants and accommodation category involve the release of gases into the atmosphere resulting from the operations and activities of restaurants hotels and other accommodation facilities. These emissions primarily occur from energy consumption for heating cooling lighting and cooking as well as from the transportation of goods and services. 
Transport,Air Freight,freight_flight-route_type_[....]-distance_[....]-weight_[....]-rf_[....]-method_[....]-aircraft_type_[....]-distance_uplift_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the air freight category refer to the release of gases into the atmosphere resulting from the transportation of goods via airplanes.
Transport,Air Travel,passenger_flight-route_type_[....]-aircraft_type_[....]-distance_[....]-class_[....]-rf_[....]-distance_uplift_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from air travel category are the result of flights and aircraft operations contributing to the release of gases into the atmosphere.
Transport,Rail Freight,freight_train-route_type_[....]-fuel_type_[....]-load_type-[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the rail freight category are associated with the release of gases into the atmosphere resulting from the transportation of goods and cargo by rail. These emissions primarily occur from the burning of fossil fuels such as diesel to power the locomotives that pull the freight trains.
Transport,Rail Travel,passenger_train-route_type_[....]-fuel_source_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the rail travel category are associated with the release of gases into the atmosphere resulting from passenger and freight transportation by rail. These emissions primarily occur from the burning of fossil fuels such as diesel or electricity generated from non-renewable sources to power the trains.
Transport,Road Freight,freight_vehicle-vehicle_type_[....]-fuel_source_[....]-vehicle_weight_[....]-percentage_load_[....]-load_type_[....]-distance_uplift_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the road freight category are associated with the release of gases into the atmosphere resulting from the transportation of goods and cargo by road. These emissions primarily occur from the burning of fossil fuels such as diesel or gasoline in trucks and other road vehicles used for freight transport.
Transport,Road Travel,passenger_vehicle-vehicle_type_[....]-fuel_source_[....]-engine_size_[....]-vehicle_age_[….]-vehicle_weight_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the road travel category are associated with the release of gases into the atmosphere resulting from passenger and cargo transportation by road vehicles. These emissions primarily occur from the burning of fossil fuels such as gasoline or diesel in cars trucks buses and motorcycles.
Transport,Sea Freight,sea_freight-vessel_type_[....]-route_type_[....]-vessel_length_[....]-tonnage_[....]-fuel_source_[....]-load_type_[....]-distance_uplift_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the sea freight category are associated with the release of gases into the atmosphere resulting from the transportation of goods and cargo by sea vessels such as container ships and bulk carriers. These emissions primarily occur from the burning of fossil fuels such as heavy fuel oil or marine diesel to power the ships' engines.
Transport,Sea Travel,passenger_ferry-route_type_[....]-fuel_source_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from sea travel category are associated with the release of gases into the atmosphere resulting from passenger and cargo transportation by sea vessels such as cruise ships ferries and cargo ships. These emissions primarily occur from the burning of fossil fuels in ship engines which release carbon dioxide (CO2) and other greenhouse gases into the air.
Transport,Tickets and Passes,tickets_passes-transport_type_[....]-ticket_type_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the tickets and passes category involve the release of gases into the atmosphere resulting from the operations and activities related to ticketing and transportation services. These emissions primarily occur from the energy consumption associated with ticketing systems infrastructure maintenance and the transportation vehicles themselves such as buses trains or planes.
Transport,Transport Services and Warehousing,transport_services-type_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the transport services and warehousing category involve the release of gases into the atmosphere resulting from the transportation of goods and the storage of products. These emissions primarily occur from the burning of fossil fuels in vehicles used for transportation such as trucks and vans as well as energy consumption in warehouses and distribution centers.
Transport,Transport Services and Warehousing,warehouse_storage-type_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the utilities category are associated with the release of gases into the atmosphere resulting from the generation and distribution of electricity heat and water. These emissions primarily occur from the burning of fossil fuels such as coal or natural gas in power plants and the release of gases during fuel extraction and transportation.
Transport,Vehicles,passenger_vehicle-vehicle_type_[....]-fuel_source_[....]-engine_size_[....]-vehicle_age_[....]-vehicle_weight_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the vehicles category are associated with the release of gases into the atmosphere resulting from the operation and use of various types of vehicles such as cars trucks motorcycles and other modes of transportation. These emissions primarily occur from the burning of fossil fuels in vehicle engines which release carbon dioxide (CO2) and other greenhouse gases.
Transport,Vehicles,commercial_vehicle-vehicle_type_[....]-fuel_source_[....]-engine_size_[....]-vehicle_age_[....]-vehicle_weight_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the vehicles category are associated with the release of gases into the atmosphere resulting from the operation and use of various types of vehicles such as cars trucks motorcycles and other modes of transportation. These emissions primarily occur from the burning of fossil fuels in vehicle engines which release carbon dioxide (CO2) and other greenhouse gases.
Transport,Vehicles,delivery_vehicle-vehicle_type_[....]-fuel_source_[....]-engine_size_[....]-vehicle_age_[....]-vehicle_weight_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the vehicles category are associated with the release of gases into the atmosphere resulting from the operation and use of various types of vehicles such as cars trucks motorcycles and other modes of transportation. These emissions primarily occur from the burning of fossil fuels in vehicle engines which release carbon dioxide (CO2) and other greenhouse gases.
Transport,Vehicles,delivery_vehicles_and_freight-vehicle_type_[....]-fuel_source_[....]-engine_size_[....]-vehicle_age_[....]-vehicle_weight_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the vehicles category are associated with the release of gases into the atmosphere resulting from the operation and use of various types of vehicles such as cars trucks motorcycles and other modes of transportation. These emissions primarily occur from the burning of fossil fuels in vehicle engines which release carbon dioxide (CO2) and other greenhouse gases.
Transport,Vehicles,managed_assets_vehicle-vehicle_type_[....]-fuel_source_[....]-engine_size_[....]-vehicle_age_[....]-vehicle_weight_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the vehicles category are associated with the release of gases into the atmosphere resulting from the operation and use of various types of vehicles such as cars trucks motorcycles and other modes of transportation. These emissions primarily occur from the burning of fossil fuels in vehicle engines which release carbon dioxide (CO2) and other greenhouse gases.
Transport,Vehicles,military_vehicle-vehicle_type_[....]-fuel_source_[....]-engine_size_[....]-vehicle_age_[....]-vehicle_weight_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the vehicles category are associated with the release of gases into the atmosphere resulting from the operation and use of various types of vehicles such as cars trucks motorcycles and other modes of transportation. These emissions primarily occur from the burning of fossil fuels in vehicle engines which release carbon dioxide (CO2) and other greenhouse gases.
Transport,Vehicles,rental_vehicle-vehicle_type_[....]-fuel_source_[....]-engine_size_[....]-vehicle_age_[....]-vehicle_weight_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the vehicles category are associated with the release of gases into the atmosphere resulting from the operation and use of various types of vehicles such as cars trucks motorcycles and other modes of transportation. These emissions primarily occur from the burning of fossil fuels in vehicle engines which release carbon dioxide (CO2) and other greenhouse gases.
Transport,Vehicles,vehicle_manufacture-type_[....],,The transport sector is a significant contributor to greenhouse gas emissions through the use of various modes of transportation such as cars trucks ships airplanes and trains. These emissions primarily result from the combustion of fossil fuels for propulsion which releases carbon dioxide (CO2) and other greenhouse gases.,Greenhouse gas emissions from the vehicles category are associated with the release of gases into the atmosphere resulting from the operation and use of various types of vehicles such as cars trucks motorcycles and other modes of transportation. These emissions primarily occur from the burning of fossil fuels in vehicle engines which release carbon dioxide (CO2) and other greenhouse gases.
Waste,Construction Waste,waste-type_[....]-disposal_method_[....],,The waste sector contributes to greenhouse gas emissions through the collection treatment and disposal of solid waste wastewater and hazardous materials. These emissions primarily result from the decomposition of organic waste in landfills as well as the release of methane (a potent greenhouse gas) during waste treatment processes.,Greenhouse gas emissions from the construction waste category pertain to the release of gases into the atmosphere as a result of the handling disposal and decomposition of waste generated during construction activities. These emissions primarily occur due to the breakdown of organic materials in landfills which produces methane (CH4) a potent greenhouse gas. 
Waste,Electrical Waste,waste-type_[....]-disposal_method_[....],,The waste sector contributes to greenhouse gas emissions through the collection treatment and disposal of solid waste wastewater and hazardous materials. These emissions primarily result from the decomposition of organic waste in landfills as well as the release of methane (a potent greenhouse gas) during waste treatment processes.,Greenhouse gas emissions from the electrical waste category are associated with the release of gases into the atmosphere resulting from the improper handling and disposal of electronic waste also known as e-waste.
Waste,Food and Organic Waste,waste-type_[....]-disposal_method_[....],,The waste sector contributes to greenhouse gas emissions through the collection treatment and disposal of solid waste wastewater and hazardous materials. These emissions primarily result from the decomposition of organic waste in landfills as well as the release of methane (a potent greenhouse gas) during waste treatment processes.,Greenhouse gas emissions from the food and organic waste category are associated with the release of gases into the atmosphere resulting from the decomposition of food and organic materials.
Waste,General Waste,waste-type_[....]-disposal_method_[....],,The waste sector contributes to greenhouse gas emissions through the collection treatment and disposal of solid waste wastewater and hazardous materials. These emissions primarily result from the decomposition of organic waste in landfills as well as the release of methane (a potent greenhouse gas) during waste treatment processes.,Greenhouse gas emissions from the general waste category are associated with the release of gases into the atmosphere resulting from the decomposition and management of waste materials.
Waste,Glass Waste,waste-type_[....]-disposal_method_[....],,The waste sector contributes to greenhouse gas emissions through the collection treatment and disposal of solid waste wastewater and hazardous materials. These emissions primarily result from the decomposition of organic waste in landfills as well as the release of methane (a potent greenhouse gas) during waste treatment processes.,Greenhouse gas emissions from the glass products category involve the release of gases into the atmosphere resulting from the production use and disposal of glass products. These emissions primarily occur during the manufacturing processes such as glass melting and shaping which require high-temperature energy sources typically fueled by natural gas or electricity generated from fossil fuels.
Waste,Metal Waste,waste-type_[....]-disposal_method_[....],,The waste sector contributes to greenhouse gas emissions through the collection treatment and disposal of solid waste wastewater and hazardous materials. These emissions primarily result from the decomposition of organic waste in landfills as well as the release of methane (a potent greenhouse gas) during waste treatment processes.,Greenhouse gas emissions from the metal waste category are associated with the release of gases into the atmosphere resulting from the disposal and management of metal waste materials.
Waste,Paper and Cardboard Waste,waste-type_[....]-disposal_method_[....],,The waste sector contributes to greenhouse gas emissions through the collection treatment and disposal of solid waste wastewater and hazardous materials. These emissions primarily result from the decomposition of organic waste in landfills as well as the release of methane (a potent greenhouse gas) during waste treatment processes.,Greenhouse gas emissions from the paper and cardboard waste category involve the release of gases into the atmosphere resulting from the disposal and management of paper and cardboard waste. When paper and cardboard waste decompose in landfills they produce methane (CH4) which is a potent greenhouse gas. 
Waste,Plastic Waste,waste-type_[....]-disposal_method_[....],,The waste sector contributes to greenhouse gas emissions through the collection treatment and disposal of solid waste wastewater and hazardous materials. These emissions primarily result from the decomposition of organic waste in landfills as well as the release of methane (a potent greenhouse gas) during waste treatment processes.,Greenhouse gas emissions from the plastic waste category are associated with the release of gases into the atmosphere resulting from the improper disposal and management of plastic waste. When plastic waste ends up in landfills or incineration facilities it can release greenhouse gases such as carbon dioxide (CO2) and methane (CH4) during the decomposition or incineration processes.
Waste,Waste Management,waste_management-type_[....],,The waste sector contributes to greenhouse gas emissions through the collection treatment and disposal of solid waste wastewater and hazardous materials. These emissions primarily result from the decomposition of organic waste in landfills as well as the release of methane (a potent greenhouse gas) during waste treatment processes.,Greenhouse gas emissions from the waste management category involve the release of gases into the atmosphere resulting from the collection transportation treatment and disposal of waste materials. These emissions primarily occur from the decomposition of organic waste in landfills the release of gases during waste treatment processes and the burning of waste in incinerators.
Water,Water Supply,water_supply-type_[....],,The water sector contributes to greenhouse gas emissions through activities related to the supply and treatment of water for domestic industrial and agricultural purposes. These emissions primarily arise from energy consumption in water pumping treatment processes and the use of chemicals for water purification.,Greenhouse gas emissions from the water supply category are associated with the release of gases into the atmosphere resulting from activities related to the provision of clean water for domestic industrial and agricultural use. These emissions primarily occur from energy consumption in water treatment facilities such as pumping filtration and disinfection processes.
Water,Water Treatment,water_treatment-type_[....],,The water sector contributes to greenhouse gas emissions through activities related to the supply and treatment of water for domestic industrial and agricultural purposes. These emissions primarily arise from energy consumption in water pumping treatment processes and the use of chemicals for water purification.,Greenhouse gas emissions from the water treatment category involve the release of gases into the atmosphere resulting from the treatment and purification of wastewater. These emissions primarily occur from the energy consumption in wastewater treatment plants including aeration sludge treatment and disinfection processes.
